,1,2,3,4,5,6,7,8,9,10,11
1694898395343,0,0,0,0,0,0,0,0,0,0,0
1694898455343,0,0,0,0,1,0,0,0,0,0,0
1694898461698,0,0,0,0,1,0,0,0,0,0,1
1694898477416,0,0,0,1,1,0,0,0,0,0,1
1694898480487,0,0,0,1,1,0,1,0,0,0,1
1694898604229,0,0,0,1,1,0,1,0,1,0,1
1694898611803,0,1,0,1,1,0,1,0,1,0,1
1694898625513,0,1,0,1,1,1,1,0,1,0,1
1694898632274,0,1,1,1,1,1,1,0,1,0,1
1694898642663,0,1,1,1,1,1,1,0,1,1,1
1694898703514,0,1,1,1,1,1,1,1,1,1,1
1694899086721,0,1,1,1,1,1,2,1,1,1,1
1694899255942,0,1,1,1,1,1,2,2,1,1,1
1694899266456,0,2,1,1,1,1,2,2,1,1,1
1694899388692,0,2,1,1,1,1,2,2,1,2,1
1694899406481,0,2,1,1,1,1,2,2,1,2,3
1694899816113,0,2,1,1,1,1,4,2,1,2,3
1694899826257,0,2,1,1,1,1,4,2,1,2,4
1694899845617,0,2,2,1,1,1,4,2,1,2,4
1694899887192,0,2,3,1,1,1,4,2,1,2,4
1694899978073,0,2,3,1,1,1,4,4,1,2,4
1694900011987,0,5,3,1,1,1,4,4,1,2,4
1694900035515,0,5,4,1,1,1,4,4,1,2,4
1694900051731,0,5,4,1,1,1,5,4,1,2,4
1694900112276,0,5,6,1,1,1,5,4,1,2,4
1694900162372,0,5,6,1,1,1,5,4,2,2,4
1694900190501,0,5,6,1,3,1,5,4,2,2,4
1694900380734,0,5,6,3,3,1,5,4,2,2,4
1694900477149,0,5,6,4,3,1,5,4,2,2,4
1694900612653,0,5,6,4,3,1,7,4,2,2,4
1694900634248,0,5,6,4,3,1,7,4,2,2,6
1694900671234,0,5,6,4,3,1,7,5,2,2,6
1694900714002,0,5,7,4,3,1,7,5,2,2,6
1694900911931,0,5,7,4,3,1,7,7,2,2,6
1694900950309,0,5,10,4,3,1,7,7,2,2,6
1694901022321,0,5,10,4,5,1,7,7,2,2,6
1694901154545,0,5,10,4,5,1,7,7,-3,2,6
1694901254228,0,5,10,4,5,1,7,7,-3,2,8
1694901318324,1,5,10,4,5,1,7,7,-3,2,8
1694901332501,1,5,10,4,5,1,9,7,-3,2,8
1694901348837,1,5,10,4,5,1,9,7,-3,4,8
1694901463072,1,7,10,4,5,1,9,7,-3,4,8
1694901493754,3,7,10,4,5,1,9,7,-3,4,8
1694901691559,3,7,10,4,5,1,9,8,-3,4,8
1694901888799,3,7,10,6,5,1,9,8,-3,4,8
1694902146295,3,7,12,6,5,1,9,8,-3,4,8
1694902214072,3,7,12,6,5,1,9,8,-3,4,10
1694902297528,3,7,13,6,5,1,9,8,-3,4,10
1694902327361,3,7,13,6,5,3,9,8,-3,4,10
1694902496768,3,7,13,6,5,3,9,8,-3,4,12
1694902587722,3,7,13,6,11,3,9,8,-3,4,12
1694902605384,3,7,13,6,11,3,9,8,-1,4,12
1694902626776,3,7,14,6,11,3,9,8,-1,4,12
1694902648956,3,7,15,6,11,3,9,8,-1,4,12
1694902695165,3,7,15,6,11,4,9,8,-1,4,12
1694902711361,3,7,15,6,11,4,9,8,0,4,12
1694902838315,3,7,15,6,11,5,9,8,0,4,12
1694903159543,3,7,15,6,11,5,9,8,0,4,7
1694903172209,3,8,15,6,11,5,9,8,0,4,7
1694903356294,3,10,15,6,11,5,9,8,0,4,7
1694903380738,3,11,15,6,11,5,9,8,0,4,7
1694903393006,3,11,17,6,11,5,9,8,0,4,7
1694903429427,3,11,17,6,11,5,9,8,0,4,8
1694903466387,3,11,17,6,11,5,9,14,0,4,8
1694903475226,9,11,17,6,11,5,9,14,0,4,8
1694903496661,9,11,17,6,11,5,11,14,0,4,8
1694903527885,9,11,17,8,11,5,11,14,0,4,8
1694903562307,9,11,18,8,11,5,11,14,0,4,8
1694903651814,9,11,18,8,13,5,11,14,0,4,8
1694903678967,9,11,18,8,13,11,11,14,0,4,8
1694903711417,9,11,18,8,13,11,11,14,1,4,8
1694904083902,10,11,18,8,13,11,11,14,1,4,8
1694904312166,10,11,18,8,13,15,11,14,1,4,8
1694904406335,10,11,18,8,13,15,11,14,1,4,12
1694904513031,10,11,18,8,13,15,11,15,1,4,12
1694904536240,10,11,20,8,13,15,11,15,1,4,12
1694904660377,10,11,20,8,13,15,11,15,1,4,7
1694904712448,10,11,20,8,13,15,11,15,1,6,7
1694904738792,10,11,20,8,13,15,11,15,1,7,7
1694904775560,10,11,20,8,13,17,11,15,1,7,7
1694904888314,10,11,21,8,13,17,11,15,1,7,7
1694904941631,10,12,21,8,13,17,11,15,1,7,7
1694904944671,10,14,21,8,13,17,11,15,1,7,7
1694905046373,10,14,21,8,13,17,11,15,3,7,7
1694905140919,10,14,21,8,13,17,11,16,3,7,7
1694905255085,10,14,21,8,13,17,11,16,6,7,7
1694905388230,12,14,21,8,13,17,11,16,6,7,7
1694905401758,12,14,21,8,13,18,11,16,6,7,7
1694905539928,16,14,21,8,13,18,11,16,6,7,7
1694905614396,16,14,21,8,15,18,11,16,6,7,7
1694905717927,16,14,21,8,15,18,12,16,6,7,7
1694905737193,16,14,21,8,15,20,12,16,6,7,7
1694905771160,16,14,21,8,15,20,12,16,7,7,7
1694905787422,16,14,21,8,15,20,12,18,7,7,7
1694906047320,16,15,21,8,15,20,12,18,7,7,7
1694906099707,16,15,21,8,15,20,12,18,7,9,7
1694906191371,16,15,21,8,16,20,12,18,7,9,7
1694906272802,17,15,21,8,16,20,12,18,7,9,7
1694906337080,17,15,23,8,16,20,12,18,7,9,7
1694906341084,17,15,24,8,16,20,12,18,7,9,7
1694906500414,17,15,24,8,16,20,12,18,9,9,7
1694906533536,17,15,24,8,16,20,12,18,9,11,7
1694906656313,17,15,24,9,16,20,12,18,9,11,7
1694906716583,17,15,24,9,16,20,12,18,9,12,7
1694906733576,17,15,24,9,18,20,12,18,9,12,7
1694906795889,17,15,24,9,18,20,12,18,9,15,7
1694906851804,17,15,24,9,19,20,12,18,9,15,7
1694906886577,17,15,24,9,19,20,12,19,9,15,7
1694906926136,17,15,26,9,19,20,12,19,9,15,7
1694906958963,19,15,26,9,19,20,12,19,9,15,7
1694907091323,19,15,26,9,19,20,12,19,9,16,7
1694907102877,19,15,26,11,19,20,12,19,9,16,7
1694907124939,19,15,26,11,21,20,12,19,9,16,7
1694907141046,19,15,26,11,21,20,12,20,9,16,7
1694907156032,19,15,26,11,21,20,12,20,10,16,7
1694907172096,19,15,26,11,21,20,12,20,10,17,7
1694907218419,19,16,26,11,21,20,12,20,10,17,7
1694907352650,19,16,26,11,21,20,12,22,10,17,7
1694907392081,19,11,26,11,21,20,12,22,10,17,7
1694907491779,19,11,26,13,21,20,12,22,10,17,7
1694907555302,21,11,26,13,21,20,12,22,10,17,7
1694907631111,22,11,26,13,21,20,12,22,10,17,7
1694907813162,22,11,26,13,21,20,13,22,10,17,7
1694907997717,22,11,26,13,21,20,13,22,10,17,9
1694908021677,22,11,26,13,21,22,13,22,10,17,9
1694908044357,22,11,26,13,21,22,13,23,10,17,9
1694908132791,22,11,26,14,21,22,13,23,10,17,9
1694908225451,22,11,26,14,21,22,13,23,10,18,9
1694908226426,22,11,26,14,21,22,13,23,10,20,9
1694908390175,22,11,26,14,21,23,13,23,10,20,9
1694908407466,22,11,26,14,24,23,13,23,10,20,9
1694908479805,22,13,26,14,24,23,13,23,10,20,9
1694908570260,22,13,26,14,25,23,13,23,10,20,9
1694909139024,22,13,26,17,25,23,13,23,10,20,9
1694909150834,22,13,27,17,25,23,13,23,10,20,9
1694909171621,22,13,27,17,25,23,13,23,10,20,10
1694909178497,22,13,27,17,25,23,13,23,10,20,11
1694909199744,22,13,27,17,25,26,13,23,10,20,11
1694909213289,22,13,27,17,25,26,13,24,10,20,11
1694909248090,22,13,27,17,25,26,14,24,10,20,11
1694909250522,22,13,27,17,25,26,16,24,10,20,11
1694909253764,22,13,27,17,25,26,19,24,10,20,11
1694909276349,22,13,27,17,26,26,19,24,10,20,11
1694909278051,22,13,27,17,28,26,19,24,10,20,11
1694909291503,22,13,27,17,28,26,19,24,11,20,11
1694909309804,22,13,27,17,28,26,19,24,13,20,11
1694909314100,22,13,27,17,28,26,19,24,15,20,11
1694909338865,22,13,27,17,28,26,19,24,15,21,11
1694909382241,22,14,27,17,28,26,19,24,15,21,11
1694909507437,22,16,27,17,28,26,19,24,15,21,11
1694909513117,22,16,27,17,28,26,19,24,15,21,12
1694909531201,22,16,27,17,28,27,19,24,15,21,12
1694909567027,22,16,27,17,28,27,19,27,15,21,12
1694909723574,22,16,27,17,28,28,19,27,15,21,12
1694910388188,22,16,28,17,28,28,19,27,15,21,12
1694910393781,22,16,30,17,28,28,19,27,15,21,12
1694910424541,22,16,30,17,28,28,19,27,15,21,14
1694910504025,22,16,30,17,28,28,19,27,15,21,17
1694910577131,23,16,30,17,28,28,19,27,15,21,17
1694910596803,23,16,30,17,30,28,19,27,15,21,17
1694910611422,23,16,30,17,31,28,19,27,15,21,17
1694910629400,23,16,30,17,31,28,19,27,17,21,17
1694910645752,23,16,30,17,31,28,19,27,19,21,17
1694910662038,23,16,30,17,31,28,25,27,19,21,17
1694910682853,23,16,30,17,31,28,25,29,19,21,17
1694910719941,23,16,34,17,31,28,25,29,19,21,17
1694910743347,24,16,34,17,31,28,25,29,19,21,17
1694910838524,24,16,34,17,31,28,25,29,20,21,17
1694910963940,24,16,34,17,33,28,25,29,20,21,17
1694910989443,24,16,34,17,33,28,27,29,20,21,17
1694911038285,24,16,34,17,33,30,27,29,20,21,17
1694911078684,24,16,34,17,34,30,27,29,20,21,17
1694911213912,24,16,34,17,34,30,27,29,20,21,18
1694911235666,24,18,34,17,34,30,27,29,20,21,18
1694911236666,24,22,34,17,34,30,27,29,20,21,18
1694911275483,24,22,34,18,34,30,27,29,20,21,18
1694911353635,24,22,34,18,34,30,27,29,24,21,18
1694911396990,24,28,34,18,34,30,27,29,24,21,18
1694911419590,24,28,34,18,34,30,29,29,24,21,18
1694911419606,24,28,34,18,34,30,31,29,24,21,18
1694911618940,24,28,34,18,34,30,31,29,24,23,18
1694911660400,24,28,36,18,34,30,31,29,24,23,18
1694911718083,24,28,36,18,35,30,31,29,24,23,18
1694911719083,24,28,36,18,39,30,31,29,24,23,18
1694911750627,24,28,36,18,39,30,31,29,24,25,18
1694911868861,24,28,36,18,39,32,31,29,24,25,18
1694912026085,24,28,36,18,39,32,31,29,25,25,18
1694912066153,25,28,36,18,39,32,31,29,25,25,18
1694912096243,25,28,36,18,39,32,31,29,25,25,19
1694912165798,25,28,36,18,39,33,31,29,25,25,19
1694912166798,25,28,36,18,39,34,31,29,25,25,19
1694912268512,25,28,42,18,39,34,31,29,25,25,19
1694912302997,25,28,42,18,39,34,31,29,31,25,19
1694912369519,25,28,42,18,39,34,31,29,31,31,19
1694912429519,25,28,42,18,39,34,31,29,31,31,19
